prompt,intent
yes,yes
sure,yes
why not,yes
of course,yes
affirmative,yes
yep,yes
absolutely,yes
positive,yes
definitively,yes
indeed,yes
certainly,yes
roger,yes
yup,yes
without a doubt,yes
without question,yes
you bet,yes
naturally,yes
aye,yes
okay,yes
ofc,yes
yes sir,yes
all right,yes
no,no
nope,no
absolutely not,no
negative,no
not at all,no
never,no
nuh uh,no
no way,no
I don't think so,no
not sure,no
"no way, jose",no
refuse,no
Im afraid not,no
by no means,no
not a chance,no
"regrettably, no",no
sorry,no
"sorry, but no",no
"no, thank you",no
decline,no
refuse,no
I don't know ,no
