Question,Answer
When was Soul released?,Released in 2020
What age is Soul for?,Soul has a U certificate
What certificate is Soul?,Soul has a U certificate
How long is Soul?,Soul has a runtime of 100 min
What genres is Soul?,"Animation, Adventure, Comedy"
What rating does Soul have?,8.1/10
What review score does Soul have?,8.1/10
What is the summary for Soul?,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife."
Who is the director for Soul?,Pete Docter
Who are the actors for Soul?,"Starring Kemp Powers, Jamie Foxx, Tina Fey, Graham Norton"
When was Gisaengchung released?,Released in 2019
What age is Gisaengchung for?,Gisaengchung has a A certificate
What certificate is Gisaengchung?,Gisaengchung has a A certificate
How long is Gisaengchung?,Gisaengchung has a runtime of 132 min
What genres is Gisaengchung?,"Comedy, Drama, Thriller"
What rating does Gisaengchung have?,8.6/10
What review score does Gisaengchung have?,8.6/10
What is the summary for Gisaengchung?,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
Who is the director for Gisaengchung?,Bong Joon Ho
Who are the actors for Gisaengchung?,"Starring Kang-ho Song, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-sik"
When was Joker released?,Released in 2019
What age is Joker for?,Joker has a A certificate
What certificate is Joker?,Joker has a A certificate
How long is Joker?,Joker has a runtime of 122 min
What genres is Joker?,"Crime, Drama, Thriller"
What rating does Joker have?,8.5/10
What review score does Joker have?,8.5/10
What is the summary for Joker?,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker."
Who is the director for Joker?,Todd Phillips
Who are the actors for Joker?,"Starring Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy"
When was Avengers: Endgame released?,Released in 2019
What age is Avengers: Endgame for?,Avengers: Endgame has a UA certificate
What certificate is Avengers: Endgame?,Avengers: Endgame has a UA certificate
How long is Avengers: Endgame?,Avengers: Endgame has a runtime of 181 min
What genres is Avengers: Endgame?,"Action, Adventure, Drama"
What rating does Avengers: Endgame have?,8.4/10
What review score does Avengers: Endgame have?,8.4/10
What is the summary for Avengers: Endgame?,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
Who is the director for Avengers: Endgame?,Anthony Russo
Who are the actors for Avengers: Endgame?,"Starring Joe Russo, Robert Downey Jr., Chris Evans, Mark Ruffalo"
When was Ford v Ferrari released?,Released in 2019
What age is Ford v Ferrari for?,Ford v Ferrari has a UA certificate
What certificate is Ford v Ferrari?,Ford v Ferrari has a UA certificate
How long is Ford v Ferrari?,Ford v Ferrari has a runtime of 152 min
What genres is Ford v Ferrari?,"Action, Biography, Drama"
What rating does Ford v Ferrari have?,8.1/10
What review score does Ford v Ferrari have?,8.1/10
What is the summary for Ford v Ferrari?,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.
Who is the director for Ford v Ferrari?,James Mangold
Who are the actors for Ford v Ferrari?,"Starring Matt Damon, Christian Bale, Jon Bernthal, Caitriona Balfe"
When was Knives Out released?,Released in 2019
What age is Knives Out for?,Knives Out has a UA certificate
What certificate is Knives Out?,Knives Out has a UA certificate
How long is Knives Out?,Knives Out has a runtime of 130 min
What genres is Knives Out?,"Comedy, Crime, Drama"
What rating does Knives Out have?,7.9/10
What review score does Knives Out have?,7.9/10
What is the summary for Knives Out?,"A detective investigates the death of a patriarch of an eccentric, combative family."
Who is the director for Knives Out?,Rian Johnson
Who are the actors for Knives Out?,"Starring Daniel Craig, Chris Evans, Ana de Armas, Jamie Lee Curtis"
When was The Irishman released?,Released in 2019
What age is The Irishman for?,The Irishman has a R certificate
What certificate is The Irishman?,The Irishman has a R certificate
How long is The Irishman?,The Irishman has a runtime of 209 min
What genres is The Irishman?,"Biography, Crime, Drama"
What rating does The Irishman have?,7.9/10
What review score does The Irishman have?,7.9/10
What is the summary for The Irishman?,"An old man recalls his time painting houses for his friend, Jimmy Hoffa, through the 1950-70s."
Who is the director for The Irishman?,Martin Scorsese
Who are the actors for The Irishman?,"Starring Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel"
When was The Gentlemen released?,Released in 2019
What age is The Gentlemen for?,The Gentlemen has a A certificate
What certificate is The Gentlemen?,The Gentlemen has a A certificate
How long is The Gentlemen?,The Gentlemen has a runtime of 113 min
What genres is The Gentlemen?,"Action, Comedy, Crime"
What rating does The Gentlemen have?,7.8/10
What review score does The Gentlemen have?,7.8/10
What is the summary for The Gentlemen?,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
Who is the director for The Gentlemen?,Guy Ritchie
Who are the actors for The Gentlemen?,"Starring Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong"
When was Little Women released?,Released in 2019
What age is Little Women for?,Little Women has a U certificate
What certificate is Little Women?,Little Women has a U certificate
How long is Little Women?,Little Women has a runtime of 135 min
What genres is Little Women?,"Drama, Romance"
What rating does Little Women have?,7.8/10
What review score does Little Women have?,7.8/10
What is the summary for Little Women?,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms."
Who is the director for Little Women?,Greta Gerwig
Who are the actors for Little Women?,"Starring Saoirse Ronan, Emma Watson, Florence Pugh, Eliza Scanlen"
When was Toy Story 4 released?,Released in 2019
What age is Toy Story 4 for?,Toy Story 4 has a U certificate
What certificate is Toy Story 4?,Toy Story 4 has a U certificate
How long is Toy Story 4?,Toy Story 4 has a runtime of 100 min
What genres is Toy Story 4?,"Animation, Adventure, Comedy"
What rating does Toy Story 4 have?,7.8/10
What review score does Toy Story 4 have?,7.8/10
What is the summary for Toy Story 4?,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy."
Who is the director for Toy Story 4?,Josh Cooley
Who are the actors for Toy Story 4?,"Starring Tom Hanks, Tim Allen, Annie Potts, Tony Hale"
When was Dark Waters released?,Released in 2019
What age is Dark Waters for?,Dark Waters has a PG13 certificate
What certificate is Dark Waters?,Dark Waters has a PG13 certificate
How long is Dark Waters?,Dark Waters has a runtime of 126 min
What genres is Dark Waters?,"Biography, Drama, History"
What rating does Dark Waters have?,7.6/10
What review score does Dark Waters have?,7.6/10
What is the summary for Dark Waters?,A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.
Who is the director for Dark Waters?,Todd Haynes
Who are the actors for Dark Waters?,"Starring Mark Ruffalo, Anne Hathaway, Tim Robbins, Bill Pullman"
When was Just Mercy released?,Released in 2019
What age is Just Mercy for?,Just Mercy has a A certificate
What certificate is Just Mercy?,Just Mercy has a A certificate
How long is Just Mercy?,Just Mercy has a runtime of 137 min
What genres is Just Mercy?,"Biography, Crime, Drama"
What rating does Just Mercy have?,7.6/10
What review score does Just Mercy have?,7.6/10
What is the summary for Just Mercy?,World-renowned civil rights defense attorney Bryan Stevenson works to free a wrongly condemned death row prisoner.
Who is the director for Just Mercy?,Destin Daniel Cretton
Who are the actors for Just Mercy?,"Starring Michael B. Jordan, Jamie Foxx, Brie Larson, Charlie Pye Jr."
When was Bohemian Rhapsody released?,Released in 2018
What age is Bohemian Rhapsody for?,Bohemian Rhapsody has a UA certificate
What certificate is Bohemian Rhapsody?,Bohemian Rhapsody has a UA certificate
How long is Bohemian Rhapsody?,Bohemian Rhapsody has a runtime of 134 min
What genres is Bohemian Rhapsody?,"Biography, Drama, Music"
What rating does Bohemian Rhapsody have?,8.0/10
What review score does Bohemian Rhapsody have?,8.0/10
What is the summary for Bohemian Rhapsody?,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985)."
Who is the director for Bohemian Rhapsody?,Bryan Singer
Who are the actors for Bohemian Rhapsody?,"Starring Rami Malek, Lucy Boynton, Gwilym Lee, Ben Hardy"
When was Isle of Dogs released?,Released in 2018
What age is Isle of Dogs for?,Isle of Dogs has a U certificate
What certificate is Isle of Dogs?,Isle of Dogs has a U certificate
How long is Isle of Dogs?,Isle of Dogs has a runtime of 101 min
What genres is Isle of Dogs?,"Animation, Adventure, Comedy"
What rating does Isle of Dogs have?,7.9/10
What review score does Isle of Dogs have?,7.9/10
What is the summary for Isle of Dogs?,"Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog."
Who is the director for Isle of Dogs?,Wes Anderson
Who are the actors for Isle of Dogs?,"Starring Bryan Cranston, Koyu Rankin, Edward Norton, Bob Balaban"
When was Deadpool 2 released?,Released in 2018
What age is Deadpool 2 for?,Deadpool 2 has a R certificate
What certificate is Deadpool 2?,Deadpool 2 has a R certificate
How long is Deadpool 2?,Deadpool 2 has a runtime of 119 min
What genres is Deadpool 2?,"Action, Adventure, Comedy"
What rating does Deadpool 2 have?,7.7/10
What review score does Deadpool 2 have?,7.7/10
What is the summary for Deadpool 2?,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable."
Who is the director for Deadpool 2?,David Leitch
Who are the actors for Deadpool 2?,"Starring Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison"
When was Searching released?,Released in 2018
What age is Searching for?,Searching has a UA certificate
What certificate is Searching?,Searching has a UA certificate
How long is Searching?,Searching has a runtime of 102 min
What genres is Searching?,"Drama, Mystery, Thriller"
What rating does Searching have?,7.6/10
What review score does Searching have?,7.6/10
What is the summary for Searching?,"After his teenage daughter goes missing, a desperate father tries to find clues on her laptop."
Who is the director for Searching?,Aneesh Chaganty
Who are the actors for Searching?,"Starring John Cho, Debra Messing, Joseph Lee, Michelle La"
When was Incredibles 2 released?,Released in 2018
What age is Incredibles 2 for?,Incredibles 2 has a UA certificate
What certificate is Incredibles 2?,Incredibles 2 has a UA certificate
How long is Incredibles 2?,Incredibles 2 has a runtime of 118 min
What genres is Incredibles 2?,"Animation, Action, Adventure"
What rating does Incredibles 2 have?,7.6/10
What review score does Incredibles 2 have?,7.6/10
What is the summary for Incredibles 2?,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.
Who is the director for Incredibles 2?,Brad Bird
Who are the actors for Incredibles 2?,"Starring Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner"
When was A Star Is Born released?,Released in 2018
What age is A Star Is Born for?,A Star Is Born has a UA certificate
What certificate is A Star Is Born?,A Star Is Born has a UA certificate
How long is A Star Is Born?,A Star Is Born has a runtime of 136 min
What genres is A Star Is Born?,"Drama, Music, Romance"
What rating does A Star Is Born have?,7.6/10
What review score does A Star Is Born have?,7.6/10
What is the summary for A Star Is Born?,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.
Who is the director for A Star Is Born?,Bradley Cooper
Who are the actors for A Star Is Born?,"Starring Lady Gaga, Bradley Cooper, Sam Elliott, Greg Grunberg"
When was Coco released?,Released in 2017
What age is Coco for?,Coco has a U certificate
What certificate is Coco?,Coco has a U certificate
How long is Coco?,Coco has a runtime of 105 min
What genres is Coco?,"Animation, Adventure, Family"
What rating does Coco have?,8.4/10
What review score does Coco have?,8.4/10
What is the summary for Coco?,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
Who is the director for Coco?,Lee Unkrich
Who are the actors for Coco?,"Starring Adrian Molina, Anthony Gonzalez, Gael Garcia Bernal, Benjamin Bratt"
When was Logan released?,Released in 2017
What age is Logan for?,Logan has a A certificate
What certificate is Logan?,Logan has a A certificate
How long is Logan?,Logan has a runtime of 137 min
What genres is Logan?,"Action, Drama, Sci-Fi"
What rating does Logan have?,8.1/10
What review score does Logan have?,8.1/10
What is the summary for Logan?,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
Who is the director for Logan?,James Mangold
Who are the actors for Logan?,"Starring Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook"
When was Wonder released?,Released in 2017
What age is Wonder for?,Wonder has a U certificate
What certificate is Wonder?,Wonder has a U certificate
How long is Wonder?,Wonder has a runtime of 113 min
What genres is Wonder?,"Drama, Family"
What rating does Wonder have?,8.0/10
What review score does Wonder have?,8.0/10
What is the summary for Wonder?,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time."
Who is the director for Wonder?,Stephen Chbosky
Who are the actors for Wonder?,"Starring Jacob Tremblay, Owen Wilson, Izabela Vidovic, Julia Roberts"
When was Thor: Ragnarok released?,Released in 2017
What age is Thor: Ragnarok for?,Thor: Ragnarok has a UA certificate
What certificate is Thor: Ragnarok?,Thor: Ragnarok has a UA certificate
How long is Thor: Ragnarok?,Thor: Ragnarok has a runtime of 130 min
What genres is Thor: Ragnarok?,"Action, Adventure, Comedy"
What rating does Thor: Ragnarok have?,7.9/10
What review score does Thor: Ragnarok have?,7.9/10
What is the summary for Thor: Ragnarok?,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela."
Who is the director for Thor: Ragnarok?,Taika Waititi
Who are the actors for Thor: Ragnarok?,"Starring Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Mark Ruffalo"
When was Paddington 2 released?,Released in 2017
What age is Paddington 2 for?,Paddington 2 has a U certificate
What certificate is Paddington 2?,Paddington 2 has a U certificate
How long is Paddington 2?,Paddington 2 has a runtime of 103 min
What genres is Paddington 2?,"Adventure, Comedy, Family"
What rating does Paddington 2 have?,7.8/10
What review score does Paddington 2 have?,7.8/10
What is the summary for Paddington 2?,"Paddington (Ben Whishaw), now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's (Imelda Staunton's) 100th birthday, only for the gift to be stolen."
Who is the director for Paddington 2?,Paul King
Who are the actors for Paddington 2?,"Starring Ben Whishaw, Hugh Grant, Hugh Bonneville, Sally Hawkins"
When was Get Out released?,Released in 2017
What age is Get Out for?,Get Out has a R certificate
What certificate is Get Out?,Get Out has a R certificate
How long is Get Out?,Get Out has a runtime of 104 min
What genres is Get Out?,"Horror, Mystery, Thriller"
What rating does Get Out have?,7.7/10
What review score does Get Out have?,7.7/10
What is the summary for Get Out?,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point."
Who is the director for Get Out?,Jordan Peele
Who are the actors for Get Out?,"Starring Daniel Kaluuya, Allison Williams, Bradley Whitford, Catherine Keener"
When was Baby Driver released?,Released in 2017
What age is Baby Driver for?,Baby Driver has a UA certificate
What certificate is Baby Driver?,Baby Driver has a UA certificate
How long is Baby Driver?,Baby Driver has a runtime of 113 min
What genres is Baby Driver?,"Action, Crime, Drama"
What rating does Baby Driver have?,7.6/10
What review score does Baby Driver have?,7.6/10
What is the summary for Baby Driver?,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail."
Who is the director for Baby Driver?,Edgar Wright
Who are the actors for Baby Driver?,"Starring Ansel Elgort, Jon Bernthal, Jon Hamm, Eiza González"
When was Arrival released?,Released in 2016
What age is Arrival for?,Arrival has a UA certificate
What certificate is Arrival?,Arrival has a UA certificate
How long is Arrival?,Arrival has a runtime of 116 min
What genres is Arrival?,"Drama, Sci-Fi"
What rating does Arrival have?,7.9/10
What review score does Arrival have?,7.9/10
What is the summary for Arrival?,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecrafts appear around the world.
Who is the director for Arrival?,Denis Villeneuve
Who are the actors for Arrival?,"Starring Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg"
When was Moana released?,Released in 2016
What age is Moana for?,Moana has a U certificate
What certificate is Moana?,Moana has a U certificate
How long is Moana?,Moana has a runtime of 107 min
What genres is Moana?,"Animation, Adventure, Comedy"
What rating does Moana have?,7.6/10
What review score does Moana have?,7.6/10
What is the summary for Moana?,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right."
Who is the director for Moana?,Ron Clements
Who are the actors for Moana?,"Starring John Musker, Don Hall, Chris Williams, Auli'i Cravalho"
When was Zootopia released?,Released in 2016
What age is Zootopia for?,Zootopia has a U certificate
What certificate is Zootopia?,Zootopia has a U certificate
How long is Zootopia?,Zootopia has a runtime of 108 min
What genres is Zootopia?,"Animation, Adventure, Comedy"
What rating does Zootopia have?,8.0/10
What review score does Zootopia have?,8.0/10
What is the summary for Zootopia?,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
Who is the director for Zootopia?,Byron Howard
Who are the actors for Zootopia?,"Starring Rich Moore, Jared Bush, Ginnifer Goodwin, Jason Bateman"
what is the age rating for avengers,Avengers: Endgame has a UA certificate
whats the summary for avengers,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
What the age rating for avengsrs,Avengers: Endgame has a UA certificate
what is the age ratng for Avengers,Avengers: Endgame has a UA certificate
what is age rating for Moana,Moana has a U certificate
