prompt,intent
hello,small_talk
hi,small_talk
greetings,small_talk
what's up,small_talk
good too,small_talk
how are you,small_talk
good ,small_talk
good,small_talk
not great,small_talk
bad,small_talk
It is a pleasure to meet you.,small_talk
good morning,small_talk
good evening,small_talk
goodnight ,small_talk
sad,small_talk
what is the time,small_talk
what is the date,small_talk
what are your interests,small_talk
what are your favorite subjects,small_talk
what is your number,small_talk
what do you eat,small_talk
why can't you eat food,small_talk
what is your location,small_talk
what is your age,small_talk
what is AI?,small_talk
what language are you written in?,small_talk
you are not immortal,small_talk
what is a chat robot?,small_talk
what is your favorite programming language,small_talk
what is it like being a computer,small_talk
what operating systems,small_talk
can you breathe,small_talk
are you sentient?,small_talk
Is it cramped in the computer,small_talk
what is the weather,small_talk
its sunny,small_talk
the weather is nice,small_talk
Do you get tired?,small_talk
Can you sleep,small_talk
This is boring,small_talk
I'm tired of you,small_talk
You don't interest me at all,small_talk
When is your birthday?,small_talk
What do you want to ask me about?,small_talk
Who is your creator,small_talk
Do you have a boss?,small_talk
Go outside,small_talk
Draw something,small_talk
Do my laundry?,small_talk
Do you know how to play a game?,small_talk
Are you happy?,small_talk
Are you really happy?,small_talk
do you ever need to eat?,small_talk
Do you know the meaning of life?,small_talk
what is your name,small_talk
What is your opinion of AI?,small_talk
call me X,name_give
my name X,name_give
my name is X,name_give
I am X,name_give
I'm called X,name_give
i am called X,name_give
i go by the name of X,name_give
you can refer to me as X,name_give
the name i use is X,name_give
rename me to X,name_give
I respond to X,name_give
change my name to X,name_give
acll em X,name_give
call em X,name_give
ym name X,name_give
my anme X,name_give
my naem is X,name_give
ym name is X,name_give
I ma X,name_give
I ma X,name_give
I 'm claled X,name_give
I 'm claled X,name_give
i ma called X,name_give
i ma called X,name_give
i go yb the name of X,name_give
i go yb the name of X,name_give
you can refer ot em as X,name_give
you can refer ot me sa X,name_give
the nmae i use is X,name_give
teh name i use is X,name_give
rename em ot X,name_give
rneame me to X,name_give
I rnspoed to X,name_give
I pesrond to X,name_give
change ym name ot X,name_give
what am I called,name_ask
who am I,name_ask
what name am I called by,name_ask
what do you call me,name_ask
give me my name,name_ask
do you remember my name,name_ask
what is my name,name_ask
what ma I cadlel,name_ask
ahwt ma I called,name_ask
hwo am I,name_ask
hwo ma I,name_ask
what name ma I called yb,name_ask
what name ma I claled by,name_ask
what od you lacl me,name_ask
hwat do you call em,name_ask
give em ym name,name_ask
gevi me my anme,name_ask
do yuo remember ym name,name_ask
od uoy remember my name,name_ask
thaw is ym name,name_ask
what is ym mane,name_ask
I want to book a movie,transaction
I would like to book a movie,transaction
I want tickets,transaction
Can I book tickets for a film,transaction
Is it possible to make a movie booking,transaction
I want to buy tickets for a movie. How can I do that,transaction
I'm looking to purchase movie tickets,transaction
"I'd like to make a reservation for a movie, please",transaction
